Name	Set	ImageFile	Type	Cost	Damage	Health	Rarity	Unique	Class	Text
Petrificus Totalus	Quidditch_Cup	Petrificus_Totalus	Spell	1T			U		Transfiguration	Choose 1 of either player's Creatures in play and a Lesson card in that player's discard pile. Discard that Creature and put that Lesson card into play.
Petrified	Chamber_of_Secrets	Petrified	Spell	7T			R		Transfiguration	Choose 1 of your opponent's Creatures or Characters in play (other than his or her starting Character) and put it on the bottom of his or her deck.
Pewter Cauldron	Base_Set	Pewter_Cauldron	Item - Cauldron	5P			C		Potions	Provides 3[P].  To play this card, discard 1 of your [P] Lessons from play.
Philosopher's Stone	Adventures_at_Hogwarts	Philosopher's_Stone	Item - Healing	15T			R	Unique	Transfiguration	You may use 2 Actions to discard this card from play to put all Lesson cards from your discard pile into play. Then shuffle all non-Healing cards from your discard pile into your deck. When you build your deck, you can only put 1 Philosopher's Stone in it.
Phoenix Feather Wand	Base_Set	Phoenix_Feather_Wand	Item - Wand	7C			R		Charms	Provides 4[C]. Play this card only is you have cards in play that provide at least 3C Power. If you play this card, and you already have a Wand in play, discard the old one.
Phoenix Tears	Chamber_of_Secrets	Phoenix_Tears	Spell - Healing	10P			R		Potions	To play this card, return 4 of your [P] Lessons from play to your hand. Shuffle up to 16 non-Healing cards from your discard pile into your deck.
Photo Album	Adventures_at_Hogwarts	Photo_Album	Item	5C			C		Charms	Before each of your turns, draw a card.
Picking on Neville	Diagon_Alley	Picking_on_Neville	Spell	4T			C		Transfiguration	Choose 1 of your opponent's cards in play (other than his or her starting Character) and discard it. Your opponent may prevent this by choosing 2 of his or her cards in play (other than his or her starting Character) and discarding them.
Pigley Dudley	Diagon_Alley	Pigley_Dudley	Spell	5T			C		Transfiguration	Choose 1 of your opponent's Creatures or Characters in play (other than his or her starting Character) and put it on top of his or her deck.
Platform 9 3/4	Base_Set	Platform_9_3_4	Spell	5T			R		Transfiguration	To play this card, discard 1 of your Lessons from play. You get 2 more Actions this turn.
Pomfrey's Pick-Me-Up	Base_Set	Pomfrey's_Pick-Me-Up	Spell - Healing	3P			U		Potions	Put up to 3 non-Healing cards from your discard pile on the bottom of your deck (in any order). Then draw a card.
Porcupine Robe	Diagon_Alley	Porcupine_Robe	Item	7T			U		Transfiguration	At the end of each of your opponent's turns, do 1 damage to each Creature that did damage to you that turn.
Potion Ingredients	Base_Set	Potion_Ingredients	Item	5P			R		Potions	When a Spell card damages you, you may discard this card from play to prevent all of that damage.
Potions	Base_Set	Potions	Lesson				C		Lesson - Potions	Provides [P]
Potions Class Disaster	Quidditch_Cup	Potions_Class_Disaster	Spell	12P			R		Potions	Your opponent chooses 5 of his or her cards and discards them. Those cards can come from his or her hand or from play or from both. (If there are fewer than 5 total cards in your opponent's hand and in play, he or she discards them all.)
Potions Dungeon	Adventures_at_Hogwarts	Potions_Dungeon	Location	3P			R	Unique	Potions	When you play this card, discard any other Location from play (yours or your opponent's). Whenever a [P] Lesson (yours or your opponent's) is discarded from play, put it into its owner's hand.
Potions Exam	Base_Set	Potions_Exam	Spell	10P			U		Potions	Your opponent chooses 3 of his or her cards in play and discards them (if your opponent has fewer than 3 cards in play he or she discards them all). Your opponent may prevent this by choosing 1 of his or her [P] Lessons in play and discarding it.
Potions Homework	Chamber_of_Secrets	Potions_Homework	Spell	3P			C		Potions	Your opponent takes damage until he or she discards a Lesson card from his or her deck.
Potions Mistake	Base_Set	Potions_Mistake	Spell	6P			C		Potions	To play this card, discard 3 of your [P] Lessons from play. Choose 1 of your opponent's Creatures or Items in play and discard it.
Potions Project	Chamber_of_Secrets	Potions_Project	Spell	5P			U		Potions	Your opponent takes damage until he or she discards a total of 2 Lesson cards from his or her deck.
Potions Test	Chamber_of_Secrets	Potions_Test	Spell	12P			R		Potions	Your opponent takes damage until he or she discards a total of 3 Lesson cards from his or her deck.
Power Play	Quidditch_Cup	Power_Play	Spell	6Q			U		Quidditch	Play this card only if a Match is in play. Do 7 damage to your opponent.
Practical Joke	Diagon_Alley	Practical_Joke	Spell	3T			U		Transfiguration	Count the number of Items in play (yours and your opponent's). Do that much damage to your opponent.
Practice Match	Quidditch_Cup	Practice_Match	Match	1Q			C		Quidditch	To Win: Do 5 damage to your opponent while this card is in play. (That damage doesn't have to be done all at once.)  Prize: The winner may draw 4 cards.
Prikly Porcupine	Chamber_of_Secrets	Prikly_Porcupine	Creature - Porcupine	5F	2	2	U		Creatures	When you play this card, draw a card.
Prof. Minerva McGonagall	Quidditch_Cup	Prof_Minerva_McGonagall	Character - Witch - Gryffindor				R	Unique		Provides [T].  Once per game, you may discard the Adventure your opponent has played. (You don't get the reward.)
Professor Filius Flitwick	Base_Set	Professor_Filius_Flitwick	Character - Wizard - Ravenclaw				R	Unique		Provides [C].  Once per game, you may trade 2 cards in your hand for 1 card in your discard pile that needs [C] Power. 
Professor Pomona Sprout	Chamber_of_Secrets	Professor_Pomona_Sprout	Character - Witch - Hufflepuff				R	Unique		Provides [F].  Each of your Plants has 2 more Health.
Professor Quirinus Quirrell	Diagon_Alley	Professor_Quirinus_Quirrell	Character - Wizard				R	Unique		Once per game, you may return all Creatures and Items to their owners' hands.
Professor Severus Snape	Base_Set	Professor_Severus_Snape	Character - Healing - Wizard - Slytherin				R	Unique		Provides [P].  Once per game, you may shuffle up to 7 non-Healing cards from your discard pile into your deck.
Pulling Up	Quidditch_Cup	Pulling_Up	Spell	4Q			C		Quidditch	Do 2 damage to your opponent. Then draw 2 cards.
Pure-Blood	Chamber_of_Secrets	Pure-Blood	Spell - Password	6C			U		Charms	When you play this card, play it face down and tell your opponent to guess 'Pure-Blood', 'Sherbet Lemon' or 'Wattlebird'. If he or she guesses 'Pure-Blood', nothing happens. Otherwise, do 8 damage to your opponent.
Purple Firecrackers	Adventures_at_Hogwarts	Purple_Firecrackers	Spell	6C			U		Charms	Your opponent chooses 3 cards in his or her hand and discards them. (If he or she has fewer than 3 cards in his or her hand, he or she discards them all.)
Put-Outer	Quidditch_Cup	Put-Outer	Item	4T			R		Transfiguration	You may use 2 Actions to choose 1 of your opponent's cards in play (other than his or her starting Character) and return it to his or her hand.
Quality Quidditch Supplies	Diagon_Alley	Quality_Quidditch_Supplies	Location	3Q			U	Unique	Quidditch	When you play this card, discard any other Location from play (yours or your opponent's). Either player may use an Action to search his or her deck. That player may take an Item card from his or her deck that needs [Q] Power, show it to his or her opponent and put it into his or her hand. Then the player shuffles his or her deck.
Quick Thinking	Diagon_Alley	Quick_Thinking	Spell	6Q			C		Quidditch	Do 3 damage to your opponent or draw 3 cards.
Quidditch	Quidditch_Cup	Quidditch	Lesson				C		Lesson - Quidditch	Provides [Q]
Quidditch Cup	Adventures_at_Hogwarts	Quidditch_Cup	Item	9Q			R	Unique	Quidditch	Once during each of your turns, when you use an Action to play a card that requires [Q] Power, you get 1 more Action that turn.
Quidditch Pitch	Adventures_at_Hogwarts	Quidditch_Pitch	Location	2Q			R		Quidditch	When you play this card, discard any other Location from play (yours or your opponent's). Spell cards that need [Q] Power (yours and your opponent's) need 2 less Power to play (you still need at least 1 Power that matches).
Quidditch Through the Ages	Diagon_Alley	Quidditch_Through_the_Ages	Item - Book	2Q			C		Quidditch	Provides [Q].  You may use an Action and discard this card from play to draw 3 cards.
Quintaped	Diagon_Alley	Quintaped	Creature - Quintaped	5F	2	5	U		Creatures	
Rabbit Slippers	Chamber_of_Secrets	Rabbit_Slippers	Spell	8T			U		Transfiguration	Choose up to 2 Creatures in play and discard them.
Race for the Snitch	Quidditch_Cup	Race_for_the_Snitch	Adventure				U			Effect: Your opponent discards the card he or she draws at the start of each of his or her turns.  To solve: Your opponent discards his or her hand.  Opponent's Reward: You discard your hand.
Rainy-Day Match	Chamber_of_Secrets	Rainy-Day_Match	Match - Healing	1Q			U		Quidditch	To Win: Do 9 damage to your opponent. (That damage doesn't have to be done all at once.)  Prize: Winner shuffles up to 6 non-Healing cards from his or her discard pile into his or her deck.
Ransacked!	Chamber_of_Secrets	Ransacked	Spell	5C			C		Charms	Your opponent chooses 2 cards in his or her hand and discards them (1 if he or she only has 1).
Raven to Writing Desk	Base_Set	Raven_to_Writing_Desk	Spell	1T			R		Transfiguration	If your opponent has 2 or more Creatures in play, choose 1 of them and discard it.
Ravenclaw Eagle	Chamber_of_Secrets	Ravenclaw_Eagle	Creature - Ravenclaw - Eagle	4F	2	2	C		Creatures	
Ravenclaw Match	Quidditch_Cup	Ravenclaw_Match	Match	1Q			R		Quidditch	To Win: Do 10 damage to your opponent while this card is in play. (That damage doesn't have to be done all at once.)  Prize: The winner searches his or her deck. He or she may take up to 2 Lesson cards from his or her deck and put them into play. Then that player shuffles his or her deck.
Remembrall	Base_Set	Remembrall	Item	8T			C		Transfiguration	During your turn, you may use an Action to put a Lesson card from your discard pile into play.
Reparo	Chamber_of_Secrets	Reparo	Spell	7C			R		Charms	Put a non-Healing card from your discard pile into your hand.
Reptile House	Base_Set	Reptile_House	Adventure				U			Effect: Your opponent can't use more than 1 Action to play Lesson cards during each of his or her turns.  To Solve: Your opponent chooses 4 of his or her Lessons in play and discards them.  Opponent's Reward: Your opponent may draw a card.
Research	Quidditch_Cup	Research	Spell	5T			C		Transfiguration	To play this card, discard 1 of your Lessons from play. Search your deck. You may put up to 2 Lesson cards from your deck into play. Then shuffle your deck.
Restoration Potion	Chamber_of_Secrets	Restoration_Potion	Spell	4P			C		Potions	Do 4 damage to your opponent. During your opponent's next turn, he or she can't use actions to play Transfiguration cards.
Restricted Sectioon	Base_Set	Restricted_Sectioon	Spell	2T			C		Transfiguration	Choose 1 of your opponent's [T] Lessons in play and discard it.
Revealer	Chamber_of_Secrets	Revealer	Item	2T			C		Transfiguration	You may use an Action to look at your opponent's hand.
Riding the Centaur	Adventures_at_Hogwarts	Riding_the_Centaur	Adventure				R			Effect: Prevent all damage done to you by your opponent's Creatures.  To Solve: Your opponent chooses 4 of his or her cards in play (other than his or her starting Character) and returns them to his or her hand.  Opponent's Reward: Your opponent may draw a card.
River Troll	Diagon_Alley	River_Troll	Creature - Troll	5F	4	3	C		Creatures	To play this card, discard 1 of your [F] Lessons from play.
Rogue Bludger	Chamber_of_Secrets	Rogue_Bludger	Item	8Q			R		Quidditch	Before each of your turns, your opponent takes 3 damage.
Ron the Brave	Adventures_at_Hogwarts	Ron_the_Brave	Character - Wizard - Gryffindor				R	Unique		At the end of each of your turns, if you played an Adventure card that turn, your may search your deck. You may take a Character card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Ron Weasley	Base_Set	Ron_Weasley	Character - Wizard - Gryffindor				R	Unique		Whenever you play a Character card, you use up 1 Action to play it instead of 2.
Ron, Youngest Brother	Chamber_of_Secrets	Ron_Youngest_Brother	Character - Wizard - Gryffindor				R	Unique		If you have no cards in your hand, you may use an Action to draw 5 cards.
Rope Bind	Quidditch_Cup	Rope_Bind	Spell	3C			C		Charms	Do 2 damage to your opponent or to a Creature of your choice. Then draw a card.
Rose Growth	Chamber_of_Secrets	Rose_Growth	Spell	3C			C		Charms	Do 2 damage to your opponent or to a Creature of your choice. Then draw a card.
Rubeus Hagrid	Base_Set	Rubeus_Hagrid	Character				R	Unique		Whenever 1 of your Creatures does 3 or more damage to your opponent, it does 2 more damage than it usually would.
Running from Filch	Adventures_at_Hogwarts	Running_from_Filch	Adventure				U			Play this card only if you have at least 6 Lessons in play.  Effect: Your opponent can't use Actions to play Lesson cards.  To Solve: Your opponent discards his or her hand.  Opponent's Reward: Your opponent may draw 3 cards.
Sandstone Gargoyle	Adventures_at_Hogwarts	Sandstone_Gargoyle	Creature - Gargoyle	3F	1	2	C		Creatures	When Sandstone Gargoyle does damage to your opponent, if he or she doesn't have any Creatures in play, it does 2 more damage to him or her.
Scabbers	Quidditch_Cup	Scabbers	Creature - Rat	4F	1	3	R	Unique	Creatures	If Scabbers is discarded from play during your opponent's turn, put it into your hand.
School Broom	Adventures_at_Hogwarts	School_Broom	Item - Broom	4Q			C		Quidditch	Provides [Q].  When you play this card, draw a card. If you play this card, and you already have a Broom in play, discard the old one.
Scottish Stag	Base_Set	Scottish_Stag	Creature - Deer	4F	1	5	C		Creatures	
Screech Owl	Diagon_Alley	Screech_Owl	Creature - Owl	3F	1	1	C		Creatures	When you play this card, you may put a Lesson card from your discard pile into your hand.
Scribblifors	Adventures_at_Hogwarts	Scribblifors	Spell	7T			C		Transfiguration	Choose 2 of your opponent's cards in play (other than his or her starting Character). Your opponent discards one of them and returns the other to his or her hand.
Seamus Finnigan	Quidditch_Cup	Seamus_Finnigan	Character - Wizard - Gryffindor				R	Unique		Once during each of your turns, you may discard 2 cards from your hand to get 1 more Action.
Searching for the Snitch	Quidditch_Cup	Searching_for_the_Snitch	Spell	2Q			C		Quidditch	Search you deck. You may take a [Q] Lesson or a card that needs [Q] Power from you deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Second-Hand Robe Shop	Chamber_of_Secrets	Second-Hand_Robe_Shop	Location	3T			U		Transfiguration	When you play this card, discard any other Location from play (yours or your opponent's). Whenever a Spell card (yours or your opponent's) does damage to a player, it does 1 less damage to that player.
Self-Shuffling Cards	Chamber_of_Secrets	Self-Shuffling_Cards	Item	3C			U		Charms	You may use an action to have both players shuffle their decks.
Self-Stirring Cauldron	Diagon_Alley	Self-Stirring_Cauldron	Item - Cauldron	4P			R		Potions	To play this card, discard 2 of your [P] Lessons from play. You get 1 more Action the turn you play this card.
Serpensortia	Chamber_of_Secrets	Serpensortia	Spell	6T			R		Transfiguration	Search your deck. You may take up to 2 Creature cards from your deck, show them to your opponent and put them into your hand. Than shuffle your deck.
Sherbet Lemon	Chamber_of_Secrets	Sherbet_Lemon	Spell - Password	6C			U		Charms	When you play this card, play it face down and tell your opponent to guess 'Pure-Blood', 'Sherbet Lemon' or 'Wattlebird'. If he or she guesses 'Sherbet Lemon', nothing happens. Otherwise, do 8 damage to your opponent.
Shooting Star	Chamber_of_Secrets	Shooting_Star	Item - Broom	4Q			C		Quidditch	Provides [Q].  You may use an Action and discard a card from your hand to draw 2 cards. If you play this card, and you already have a Broom in play, discard the old one.
Shrinking Potion	Base_Set	Shrinking_Potion	Spell	8P			R		Potions	During your opponent's next turn, prevent all damage done to you.
Sickle	Adventures_at_Hogwarts	Sickle	Item - Money	7C			U		Charms	You can play only 1 Money card each turn. Before your turn, if this card is in play, discard it and you get 2 more Actions this turn.
Silver Cauldron	Base_Set	Silver_Cauldron	Item - Cauldron	8P			U		Potions	Provides 5[P].  To play this card, discard 2 of your [P] Lessons from play.
Silver Unicorn Horn	Diagon_Alley	Silver_Unicorn_Horn	Item - Healing	6P			R		Potions	When you play this card, put up to 2 non-Healing cards from your discard pile on the bottom of your deck (in any order). You may use an Action and discard this card from play to shuffle up to 6 non-Healing cards from your discard pile into your deck.
Sleeping Potion	Adventures_at_Hogwarts	Sleeping_Potion	Spell	4P			C		Potions	Do 4 damage to your opponent. During your opponent's next turn, he or she can't use Actions to play Adventure cards.
Slinking Ferret	Chamber_of_Secrets	Slinking_Ferret	Creature - Ferret	3F	1	1	C		Creatures	When you play this card, draw a card.
Sloth Grip	Diagon_Alley	Sloth_Grip	Spell	5Q			C		Quidditch	During your opponent's next turn, you may prevent all but the first 3 damage done to you.
Slow-Acting Venom	Chamber_of_Secrets	Slow-Acting_Venom	Item	6P			C		Potions	Before each of your turns, your opponent takes 1 damage.
Slytherin Common Room	Chamber_of_Secrets	Slytherin_Common_Room	Location - Slytherin	5P			R	Unique	Potions	When you play this card, discard any other Location from play (yours or your opponent's). Before each player's turn, he or she counts the number of Slytherin cards he or she has in play and does that much damage to his or her opponent.
Slytherin Match	Quidditch_Cup	Slytherin_Match	Match - Healing	1Q			R		Quidditch	To Win: Do 15 damage to your opponent while this card is in play (That damage doesn't have to be done all at once.)  Prize: The winner may shuffle up to 15 non-Healing cards from his or her discard pile into his or her deck.
Slytherin Serpent	Chamber_of_Secrets	Slytherin_Serpent	Creature - Slytherin - Snake	5F	3	1	C		Creatures	
Slytherin Steals	Chamber_of_Secrets	Slytherin_Steals	Spell	5Q			C		Quidditch	Do 2 damage to your opponent. Then, if your opponent has any cards in play (other than his or her starting Character), he or she chooses 1 of them and discards it.
Smash!	Quidditch_Cup	Smash	Spell	2Q			C		Quidditch	Choose 1 of your opponent's Items in play and discard it.
Snape's Bias	Quidditch_Cup	Snape's_Bias	Adventure				U			Effect: Your opponent can't use Actions to draw cards.  To Solve: Your opponent lets you search your deck for up to 2 cards and put them into your hand. Then shuffle your deck.  Opponent's Reward: Your opponent may draw a card.
Snape's Question	Base_Set	Snape's_Question	Spell	3P			C		Potions	Do 4 damage to your opponent. Your opponent may prevent this damage by showing you a [P] Lesson from his or her hand.
Snuffling Potion	Base_Set	Snuffling_Potion	Spell	4P			U		Potions	Next turn, whenever your opponent draws a card, he or she discards it instead of putting it into his or her hand.
Spiders' Exodus	Chamber_of_Secrets	Spiders'_Exodus	Spell	6T			R		Transfiguration	Return all Creatures in play (yours and your opponent's) to their owners' hands.
Spiral Dive	Diagon_Alley	Spiral_Dive	Spell	5Q			U		Quidditch	Discard any number of cards from your hand. Do that much damage to your opponent.
Spongify	Diagon_Alley	Spongify	Spell	2C			C		Charms	Choose a non-Healing Item in play and return it to its owner's hand. Then draw a card.
Squiggle Quill	Base_Set	Squiggle_Quill	Spell	2T			C		Transfiguration	Choose 1 of your opponent's Items in play and discard it.
Star Grass Salve	Adventures_at_Hogwarts	Star_Grass_Salve	Spell - Healing	8P			U		Potions	To play this card, discard 1 of your [P] Lessons from play. Shuffle up to 12 non-Healing cards from your discard pile into your deck.
Start-of-Term Feast	Quidditch_Cup	Start-of-Term_Feast	Spell	4C			R		Charms	Put up to 4 Lesson cards from your discard pile into your hand.
Steelclaw	Base_Set	Steelclaw	Spell	4T			C		Transfiguration	All your Creatures do damage to your opponent.
Sticking Up for Neville	Quidditch_Cup	Sticking_Up_for_Neville	Adventure				U			Effect: Before each of your turns, your opponent takes 4 damage.  To Solve: Your opponent discards his or her hand.  Opponent's Reward: Your opponent may put up to 4 non-Healing cards from his or her discard pile on the bottom of his or her deck (in any order).
Stoat Sandwiches	Adventures_at_Hogwarts	Stoat_Sandwiches	Adventure				R			Effect: Your opponent can't use Actions to play Healing cards.  To Solve: Your opponent chooses 5 of his or her cards in play (other than his or her starting Character) and discards them.  Opponent's Reward: Your opponent may shuffle up to 5 non-Healing cards from his or her discard pile into his or her deck.
Strategy Session	Quidditch_Cup	Strategy_Session	Spell	3Q			U		Quidditch	You may put up to 3 [Q] Lessons from your hand into play.
Stream of Flames	Quidditch_Cup	Stream_of_Flames	Spell	5C			C		Charms	Do 3 damage to your opponent. You may also choose a Creature in play and do 3 damage to it.
Streeler	Quidditch_Cup	Streeler	Creature - Snail	4F	1	2	C		Creatures	When you play this card, you may choose another Creature in play. Do 1 Damage to it.
Stupefy	Base_Set	Stupefy	Spell	6C			U		Charms	Do 5 damage to your opponent.
Support Banner	Quidditch_Cup	Support_Banner	Item	5Q			R		Quidditch	At the end of your turn, draw a card if you played at least 1 Spell card that needs [Q] Power that turn.
Surly Hound	Base_Set	Surly_Hound	Creature - Dog	3F	1	3	C		Creatures	
Swarm!	Quidditch_Cup	Swarm	Spell	5F			C		Creatures	Count the number or Creatures in play (yours and your opponent's) Do that much damage to your opponent.
Swelling Potion	Diagon_Alley	Swelling_Potion	Spell	7P			C		Potions	Do 5 damage to your opponent. During your opponent's next turn, he or she can't use Actions to play Item cards.
Swelling Solution	Chamber_of_Secrets	Swelling_Solution	Spell	7P			U		Potions	Do 8 damage to your opponent. He or she can prevent this by choosing 3 cards in his or her hand and discarding them.
Switching Spell	Adventures_at_Hogwarts	Switching_Spell	Spell	4T			C		Transfiguration	Choose an Item in play (yours or your opponent's) and discard it. Then search your deck. You may take an Item card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
Table Trouble	Diagon_Alley	Table_Trouble	Spell	5T			R		Transfiguration	Discard all Items from play (yours and your opponent's).
Take Root	Base_Set	Take_Root	Spell	5T			U		Transfiguration	Your opponent chooses 1 of his or her Creatures in play and discards it.
Tawny Owl	Diagon_Alley	Tawny_Owl	Creature - Owl	3F	1	1	C		Creatures	When you play this card, you may put a non-Healing Item card from your discard pile into your hand.
Teacup to Rat	Diagon_Alley	Teacup_to_Rat	Spell	3T			C		Transfiguration	Choose 1 of your opponent's Items in play and discard it. Then draw a card.
The Burrow	Chamber_of_Secrets	The_Burrow	Location	5C			R	Unique	Charms	When you play this card, discard any other Location from play (yours or your opponent's). Before each player's turn, if that player has fewer than 4 cards in his or her hand, that player draws cards until he or she has 4.
The Famous Harry Potter	Diagon_Alley	The_Famous_Harry_Potter	Character - Wizard - Gryffindor				R	Unique		Before each of your turns, if there are 4 or fewer cards in your hand, you may draw a card.
The Fat Lady	Adventures_at_Hogwarts	The_Fat_Lady	Character - Gryffindor				R	Unique		You may use an Action to search your deck. You may take a Gryffindor card from your deck, show it to your opponent and put it into your hand. Then shuffle your deck.
The Leakey Cauldron	Diagon_Alley	The_Leakey_Cauldron	Location	2P			R	Unique	Potions	When you play this card, discard any other Location from play (yours or your opponent's). Whenever either player plays a Character card, he or she uses up 1 Action to play it instead of 2.
The Sorting Hat	Quidditch_Cup	The_Sorting_Hat	Item	8T			R		Transfiguration	You may use 2 Actions to search your deck. You may take a Character card of a Character that isn't already in play and put it into play. Then shuffle your deck.
The Standard Book of Spells (Grade 1)	Diagon_Alley	The_Standard_Book_of_Spells_(Grade_1)	Item - Book	2C			C		Charms	Provides [C].  You may use an Action and discard this card from play to draw 3 cards
The Weasley Twins	Chamber_of_Secrets	The_Weasley_Twins	Character - Wizard - Gryffindor				R	Unique		Before each of your turns, if you have an Adventure in play, your opponent takes 2 damage.
Three-Month-Long Match	Diagon_Alley	Three-Month-Long_Match	Match	1Q			R		Quidditch	To Win: Do 30 damage to your opponent while this card is in play. (That damage doesn't have to be done all at once.)  Prize: The winner does 15 damage to his or her opponent.
Through the Arch	Diagon_Alley	Through_the_Arch	Adventure				R			Effect: Your opponent can't play Spell cards.  To Solve: Your opponent skips a total of 4 Actions. (Those Actions don't need to be one right after the other.)  Opponent's Reward: Your opponent may put an Item card from his or her discard pile into his or her hand.
Through the Floo	Chamber_of_Secrets	Through_the_Floo	Adventure				U			Effect: Before each of your opponent's turns, he or she draws 3 cards and then chooses 3 cards in his or her hand and discards them.  To Solve: Your opponent chooses 1 of his or her Locations in play or 4 of his or her Lessons in play and discards them.  Opponent's Reward: You take 3 damage.
Through the Trapdoor	Adventures_at_Hogwarts	Through_the_Trapdoor	Adventure				U			Effect: Your opponent discards the card drawn at the start of each of his or her turns.  To Solve: The card drawn and discarded at the start of your opponent's turn is a Lesson card.  Opponent's Reward: You take 1 damage.
Time Out	Quidditch_Cup	Time_Out	Spell	1Q			C		Quidditch	Look at the top 6 cards of your deck and put them back on top in any order. (If there are fewer than 6, look at all of them.)
Titillando	Base_Set	Titillando	Spell	9C			R		Charms	Do 3 damage to your opponent or to a Creature of your choice. Then your opponent chooses 3 cards in his or her hand and discards them. (If there are fewer than 3 cards in your opponent's hand, he or she discards them all.)
Toe Biter	Base_Set	Toe_Biter	Spell	3C			C		Charms	Do 2 damage to your opponent. You may also choose a Creature and do 2 damage to it.
Training Programme	Chamber_of_Secrets	Training_Programme	Spell	7Q			C		Quidditch	Draw 2 cards. Then you may put up to 2 [Q] Lesson cards from your hand into play.
Transfiguration	Base_Set	Transfiguration	Lesson				C		Lesson - Transfiguration	Provides [T]
Transfiguration Exam	Base_Set	Transfiguration_Exam	Spell	10T			R		Transfiguration	Discard all Creatures from play (even your own).
Transfiguration Test	Base_Set	Transfiguration_Test	Spell	5T			R		Transfiguration	If your opponent has 2 or more Creatures in play, he or she chooses 1 of them and discards the rest. Then, if you have 2 or more Creatures in play, choose 1 of them and discard the rest.
Transmogrify	Base_Set	Transmogrify	Spell	2T			U		Transfiguration	To play this card, discard 1 of your Creatures from play. Search your deck. You may take a Creature card from your deck, show it to your opponent and put it in your hand. Then shuffle your deck.
Trevor	Quidditch_Cup	Trevor	Creature - Toad	3F		1	R	Unique	Creatures	When you play this card, you may put a Lesson card from your discard pile into your hand. Whenever a Spell card damages you, you may let Trevor take that damage instead.
Troll Bogies	Adventures_at_Hogwarts	Troll_Bogies	Spell	3F			C		Creatures	Choose a non-Healing Item in play and return it to its owner's hand.
Troll in the Bathroom	Base_Set	Troll_in_the_Bathroom	Adventure				R			Effect: Before each of your turns, your opponent takes 2 damage.  To Solve: Your opponent chooses 7 cards in his or her hand and discards them.  Opponent's Reward: You take 4 damage.
Twirl	Chamber_of_Secrets	Twirl	Spell	8Q			U		Quidditch	Do 5 damage to your opponent. Then, if he or she has any cards in play other than Lessons (or his or her starting Character) he or she chooses 1 of those cards and returns it to his or her hand.
Umbrella Flowers	Chamber_of_Secrets	Umbrella_Flowers	Creature - Plant	3F		6	U		Creatures	Once per turn, you may let Umbrella Flowers take 1 damage that you were going to take.
Unicorn	Base_Set	Unicorn	Creature - Unicorn	6F		6	R		Creatures	To play this card, discard 1 of your [F] Lessons from play. You get 1 more Action on each of your turns (including the turn you play Unicorn).
Unusual Pets	Base_Set	Unusual_Pets	Adventure				U			Play this card only if your opponent has any Creatures in play.  Effect: Before each of your turns, your opponent takes 4 damage.  To Solve: Your opponent chooses 2 of his or her Creatures in play and discards them.  Opponent's Reward: Your opponent may draw a card.
Vanish	Quidditch_Cup	Vanish	Spell	7T			C		Transfiguration	Choose 1 of your opponent's Creatures or Characters in play (other than his or her starting Character) and put it on the bottom of his or her deck.
Vanishing Cabinet	Chamber_of_Secrets	Vanishing_Cabinet	Spell	1T			C		Transfiguration	Choose 1 of your opponent's Items in play and put it on the bottom of his or her deck.
Vanishing Glass	Base_Set	Vanishing_Glass	Spell	9T			U		Transfiguration	Play this card only if your opponent has any Lessons in play. Choose 1 of those Lessons and discard it. Search your deck. You may take a Creature card from your deck, show it to your opponent and put it in your hand. Then shuffle your deck.
Vanishing Referee	Diagon_Alley	Vanishing_Referee	Spell	4Q			R		Quidditch	Choose a non-Healing Character in play (other than a starting Character) and shuffle it into its owner's deck.
Vanishing Step	Adventures_at_Hogwarts	Vanishing_Step	Spell	1T			C		Transfiguration	During your opponent's next turn, he or she gets 1 fewer Action. (If this would mean your opponent has fewer than 1 Action, he or she still gets 1 Action.)
Venomous Tentacula	Chamber_of_Secrets	Venomous_Tentacula	Creature - Plant	4F	2	1	U		Creatures	You may use an action and discard Venomous Tentacula from play to put a [P] Lesson from your discard pile into play.
Venomous Tentacular Juice	Chamber_of_Secrets	Venomous_Tentacular_Juice	Spell	9P			R		Potions	Count the number of cards in your opponent's hand. He or she draws twice that many cards.
Verdillious	Diagon_Alley	Verdillious	Spell	9C			U		Charms	Do 5 damage to your opponent or to a Creature of your choice.
Vermillious	Base_Set	Vermillious	Spell	4C			C		Charms	Do 3 damage to your opponent or to a Creature of your choice.
Vicious Wolf	Base_Set	Vicious_Wolf	Creature - Wolf	6F	3	3	C		Creatures	
Voldemort Revealed	Adventures_at_Hogwarts	Voldemort_Revealed	Adventure				R			Effect: Your opponent can't use Actions to play Spell cards.  To Solve: Your opponent takes 7 damage.  Opponent's Reward: Your opponent may put up to 2 non-Healing cards from his or her discard pile and put them on the bottom of his or her deck (in any order).
Wand Shop	Diagon_Alley	Wand_Shop	Location	4C			U	Unique	Charms	When you play this card, discard any other Location from play (yours or your opponent's). All [C] Lessons (yours and your opponent's) provide 2[C] Power instead of [C].
Wattlebird	Chamber_of_Secrets	Wattlebird	Spell - Password	6C			U		Charms	When you play this card, play it face down and tell your opponent to guess 'Pure-Blood', 'Sherbet Lemon' or 'Wattlebird'. If he or she guesses 'Wattlebird', nothing happens. Otherwise, do 8 damage to your opponent.
